Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 2021 P2 GG	8,2	1	Y2020	0,894091	1	8	241	0,395	0,89	0,343	0,354	0,012	0,531	0,966	0,096	0,278	0,682	11,136	2,828	0,931	1,196	4	6	8	10	12	24	26	30	40	4	4	4	4	4	16	16	20	24	1	1	1	1	1	4	4	4	4	4	1	1	1	1	1	1	1	1	1	519377	602267	749643	928698	803743	826762	836625	886459	886459
DBA 2021 P2 GH	7,8	1	Y2020	1,08483	1	7	281	0,461	0,78	0,369	0,35	0,031	0,559	0,911	0,087	0,715	0,277	15,969	2,646	0,887	0,995	4	10	14	20	24	26	28	34	34	4	10	14	20	24	24	24	30	30	1	2	2	4	4	4	4	4	4	4	1	2	2	4	4	4	4	8	8	4912	825891	825891	955203	997712	105017	105017	105017	105017
DBA 2021 P2 GI	9,6	4	Y2020	1,30226	1	9	341	0,559	1	0,439	0,441	0,003	0,61	0,947	0,106	0,37	0,566	12,41	3	0,95	1,369	4	6	8	10	14	22	28	34	36	4	4	4	4	10	14	18	22	22	1	1	1	1	1	4	8	16	16	16	1	1	1	1	1	2	2	2	2	506566	650741	650741	650741	650741	6498	108545	990067	113923
DBA 2021 P2 GJ	8,8	2	Y2020	1,06011	1	9	458	0,751	1	0,65	0,651	0,001	0,965	0,996	0,108	0,293	0,504	15,264	3	0,986	1,992	4	6	8	10	12	16	22	44	46	4	4	4	4	4	4	8	26	26	1	1	1	1	1	2	3	108	108	108	1	1	1	1	1	1	1	4	4	309839	500129	712493	706462	728384	790769	764009	898481	898481
DBA 2021 P2 GK	9,6	4	Y2020	1,23921	1	8	282	0,462	0,89	0,457	0,457	0	0,947	0,796	0,108	0,465	0,383	11,18	2,828	0,768	0,235	2	8	10	14	18	30	34	36	42	2	10	10	14	18	28	30	30	34	1	1	1	1	1	12	24	24	24	24	1	2	2	2	4	16	16	16	16	298142	273829	271571	103168	114084	109751	102597	102597	102597
DBA 2021 P2 GL	9,6	4	Y2020	1,41356	1	8	610	1	0,89	0,645	0,573	0,013	0,833	0,929	0,107	0,569	0,262	10,954	2,828	0,86	1,877	4	6	8	12	14	34	42	46	62	4	4	4	8	8	24	30	32	36	1	1	1	1	1	16	96	144	144	144	1	1	1	1	1	4	8	8	16	652575	533687	533687	533687	533687	100433	994301	111274	111274
DBA 2021 P2 GM	9,6	4	Y2020	0,856556	1	8	97	0,159	0,89	0,457	0,46	0,003	0,825	0,929	0,099	0,351	0,355	14,177	2,828	0,911	1,599	4	6	8	10	12	20	24	26	28	4	4	4	4	4	8	12	12	16	1	1	1	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	309839	426118	698845	885374	927439	867114	8333	871179	871179
DBA 2122 P2 GA	8,99	3	Y2021	1,15377	1	9	384	0,692	1	0,347	0,453	0,106	0,883	0,965	0,101	0,646	0,378	10,392	3	0,872	0,647	4	8	14	18	24	32	40	58	64	4	8	16	20	24	36	44	58	60	1	1	2	2	4	8	16	1152	2880	2880	1	1	4	4	8	32	64	1728	1728	511101	863353	850314	108555	115624	130437	109227	966502	921707
DBA 2122 P2 GB	10	4	Y2021	0,937675	1	8	499	0,899	0,89	0,521	0,466	0,053	0,91	0,842	0,094	0,834	0,272	9,747	2,828	0,784	0,683	4	14	16	18	22	32	54	60	80	4	14	14	16	20	28	40	44	60	1	2	2	2	2	12	864	1152	1152	1152	1	2	2	2	2	8	128	128	2048	34641	755484	696937	735803	735803	850316	759476	752621	752621
DBA 2122 P2 GC	9,73	4	Y2021	0,998754	1	8	555	1	0,89	0,363	0,317	0,051	0,85	0,842	0,093	0,712	0,407	9,381	2,828	0,783	0,766	4	8	12	18	24	32	34	84	114	4	8	12	20	26	38	40	68	92	1	1	1	1	4	8	8	276480	276480	276480	1	1	1	2	8	64	64	34992	6718464	34641	69489	69489	777322	641586	621037	623305	796144	796144
